cost1,cost2,cost3,rev1,rev2,rev3
-0.5,-0.5,-0.5,NaN,-0.16854,-0.1769
-0.49714,-0.49714,-0.49714,NaN,-0.1698,-0.17815
-0.49429,-0.49429,-0.49429,NaN,-0.17107,-0.1794
-0.49143,-0.49143,-0.49143,NaN,-0.17233,-0.18065
-0.48857,-0.48857,-0.48857,NaN,-0.17359,-0.1819
-0.48571,-0.48571,-0.48571,NaN,-0.17486,-0.18315
-0.48286,-0.48286,-0.48286,NaN,-0.17612,-0.1844
-0.48,-0.48,-0.48,NaN,-0.17738,-0.18565
-0.47714,-0.47714,-0.47714,NaN,-0.17864,-0.18691
-0.47429,-0.47429,-0.47429,NaN,-0.17991,-0.18816
-0.47143,-0.47143,-0.47143,NaN,-0.18117,-0.18941
-0.46857,-0.46857,-0.46857,NaN,-0.18243,-0.19066
-0.46571,-0.46571,-0.46571,NaN,-0.1837,-0.19191
-0.46286,-0.46286,-0.46286,NaN,-0.18496,-0.19316
-0.46,-0.46,-0.46,NaN,-0.18622,-0.19441
-0.45714,-0.45714,-0.45714,NaN,-0.18749,-0.19566
-0.45429,-0.45429,-0.45429,NaN,-0.18875,-0.19691
-0.45143,-0.45143,-0.45143,NaN,-0.19001,-0.19816
-0.44857,-0.44857,-0.44857,NaN,-0.19127,-0.19941
-0.44571,-0.44571,-0.44571,NaN,-0.19254,-0.20066
-0.44286,-0.44286,-0.44286,NaN,-0.1938,-0.20191
-0.44,-0.44,-0.44,NaN,-0.19506,-0.20316
-0.43714,-0.43714,-0.43714,NaN,-0.19633,-0.20441
-0.43429,-0.43429,-0.43429,NaN,-0.19759,-0.20566
-0.43143,-0.43143,-0.43143,NaN,-0.19885,-0.20691
-0.42857,-0.42857,-0.42857,NaN,-0.20012,-0.20816
-0.42571,-0.42571,-0.42571,NaN,-0.20138,-0.20941
-0.42286,-0.42286,-0.42286,NaN,-0.20264,-0.21066
-0.42,-0.42,-0.42,NaN,-0.2039,-0.21191
-0.41714,-0.41714,-0.41714,NaN,-0.20517,-0.21316
-0.41429,-0.41429,-0.41429,NaN,-0.20643,-0.21441
-0.41143,-0.41143,-0.41143,NaN,-0.20769,-0.21566
-0.40857,-0.40857,-0.40857,NaN,-0.20896,-0.21691
-0.40571,-0.40571,-0.40571,NaN,-0.21022,-0.21816
-0.40286,-0.40286,-0.40286,NaN,-0.21148,-0.21941
-0.4,-0.4,-0.4,NaN,-0.21275,-0.22066
-0.39714,-0.39714,-0.39714,NaN,-0.21401,-0.22191
-0.39429,-0.39429,-0.39429,NaN,-0.21527,-0.22316
-0.39143,-0.39143,-0.39143,NaN,-0.12686,-0.22441
-0.38857,-0.38857,-0.38857,NaN,-0.1277,-0.22566
-0.38571,-0.38571,-0.38571,NaN,-0.12855,-0.22691
-0.38286,-0.38286,-0.38286,NaN,-0.12939,-0.22816
-0.38,-0.38,-0.38,NaN,-0.13023,-0.22941
-0.37714,-0.37714,-0.37714,NaN,-0.13107,-0.23066
-0.37429,-0.37429,-0.37429,NaN,-0.13191,-0.23192
-0.37143,-0.37143,-0.37143,NaN,-0.13276,-0.23317
-0.36857,-0.36857,-0.36857,NaN,-0.1336,-0.23442
-0.36571,-0.36571,-0.36571,NaN,-0.13444,-0.23567
-0.36286,-0.36286,-0.36286,NaN,-0.13528,-0.23692
-0.36,-0.36,-0.36,NaN,-0.13612,-0.23817
-0.35714,-0.35714,-0.35714,NaN,-0.13697,-0.23942
-0.35429,-0.35429,-0.35429,NaN,-0.13781,-0.24067
-0.35143,-0.35143,-0.35143,NaN,-0.13865,-0.14731
-0.34857,-0.34857,-0.34857,NaN,-0.13949,-0.14815
-0.34571,-0.34571,-0.34571,NaN,-0.14033,-0.14898
-0.34286,-0.34286,-0.34286,NaN,-0.14118,-0.14981
-0.34,-0.34,-0.34,NaN,-0.14202,-0.15065
-0.33714,-0.33714,-0.33714,NaN,-0.14286,-0.15148
-0.33429,-0.33429,-0.33429,NaN,-0.1437,-0.15231
-0.33143,-0.33143,-0.33143,NaN,-0.14454,-0.15315
-0.32857,-0.32857,-0.32857,NaN,-0.14539,-0.15398
-0.32571,-0.32571,-0.32571,NaN,-0.14623,-0.15481
-0.32286,-0.32286,-0.32286,NaN,-0.14707,-0.15565
-0.32,-0.32,-0.32,NaN,-0.14791,-0.15648
-0.31714,-0.31714,-0.31714,NaN,-0.14875,-0.15732
-0.31429,-0.31429,-0.31429,NaN,-0.1496,-0.15815
-0.31143,-0.31143,-0.31143,NaN,-0.15044,-0.15898
-0.30857,-0.30857,-0.30857,NaN,-0.15128,-0.15982
-0.30571,-0.30571,-0.30571,NaN,-0.15212,-0.16065
-0.30286,-0.30286,-0.30286,NaN,-0.15296,-0.16148
-0.3,-0.3,-0.3,NaN,-0.15381,-0.16232
-0.29714,-0.29714,-0.29714,NaN,-0.15465,-0.16315
-0.29429,-0.29429,-0.29429,NaN,-0.15549,-0.16398
-0.29143,-0.29143,-0.29143,NaN,-0.15633,-0.16482
-0.28857,-0.28857,-0.28857,NaN,-0.15717,-0.16565
-0.28571,-0.28571,-0.28571,NaN,-0.15802,-0.16648
-0.28286,-0.28286,-0.28286,NaN,-0.15886,-0.16732
-0.28,-0.28,-0.28,NaN,-0.1597,-0.16815
-0.27714,-0.27714,-0.27714,NaN,-0.16054,-0.16898
-0.27429,-0.27429,-0.27429,NaN,-0.16138,-0.16982
-0.27143,-0.27143,-0.27143,NaN,-0.16223,-0.17065
-0.26857,-0.26857,-0.26857,NaN,-0.16307,-0.17149
-0.26571,-0.26571,-0.26571,NaN,-0.16391,-0.17232
-0.26286,-0.26286,-0.26286,NaN,-0.16475,-0.17315
-0.26,-0.26,-0.26,NaN,-0.16559,-0.17399
-0.25714,-0.25714,-0.25714,NaN,-0.16644,-0.17482
-0.25429,-0.25429,-0.25429,NaN,-0.16728,-0.17565
-0.25143,-0.25143,-0.25143,NaN,-0.16812,-0.17649
-0.24857,-0.24857,-0.24857,NaN,-0.16896,-0.17732
-0.24571,-0.24571,-0.24571,NaN,-0.1698,-0.17815
-0.24286,-0.24286,-0.24286,NaN,-0.17065,-0.17899
-0.24,-0.24,-0.24,NaN,-0.17149,-0.17982
-0.23714,-0.23714,-0.23714,NaN,-0.17233,-0.18065
-0.23429,-0.23429,-0.23429,NaN,-0.17317,-0.18149
-0.23143,-0.23143,-0.23143,NaN,-0.17401,-0.18232
-0.22857,-0.22857,-0.22857,NaN,-0.17486,-0.18315
-0.22571,-0.22571,-0.22571,NaN,-0.1757,-0.18399
-0.22286,-0.22286,-0.22286,NaN,-0.17654,-0.18482
-0.22,-0.22,-0.22,NaN,-0.17738,-0.18565
-0.21714,-0.21714,-0.21714,NaN,-0.17822,-0.18649
-0.21429,-0.21429,-0.21429,NaN,-0.17907,-0.18732
-0.21143,-0.21143,-0.21143,NaN,-0.17991,-0.18816
-0.20857,-0.20857,-0.20857,NaN,-0.18075,-0.18899
-0.20571,-0.20571,-0.20571,NaN,-0.18159,-0.18982
-0.20286,-0.20286,-0.20286,NaN,-0.18243,-0.19066
-0.2,-0.2,-0.2,NaN,-0.18328,-0.19149
-0.19714,-0.19714,-0.19714,NaN,-0.18412,-0.19232
-0.19429,-0.19429,-0.19429,NaN,-0.18496,-0.19316
-0.19143,-0.19143,-0.19143,NaN,-0.1858,-0.19399
-0.18857,-0.18857,-0.18857,NaN,-0.18664,-0.19482
-0.18571,-0.18571,-0.18571,NaN,-0.18749,-0.19566
-0.18286,-0.18286,-0.18286,NaN,-0.18833,-0.19649
-0.18,-0.18,-0.18,NaN,-0.18917,-0.19732
-0.17714,-0.17714,-0.17714,NaN,-0.19001,-0.19816
-0.17429,-0.17429,-0.17429,NaN,-0.19085,-0.19899
-0.17143,-0.17143,-0.17143,NaN,-0.1917,-0.19982
-0.16857,-0.16857,-0.16857,NaN,-0.19254,-0.20066
-0.16571,-0.16571,-0.16571,NaN,-0.19338,-0.20149
-0.16286,-0.16286,-0.16286,NaN,-0.19422,-0.20233
-0.16,-0.16,-0.16,NaN,-0.19506,-0.20316
-0.15714,-0.15714,-0.15714,NaN,-0.19591,-0.20399
-0.15429,-0.15429,-0.15429,NaN,-0.19675,-0.20483
-0.15143,-0.15143,-0.15143,NaN,-0.19759,-0.20566
-0.14857,-0.14857,-0.14857,NaN,-0.19843,-0.20649
-0.14571,-0.14571,-0.14571,NaN,-0.19927,-0.20733
-0.14286,-0.14286,-0.14286,NaN,-0.20012,-0.20816
-0.14,-0.14,-0.14,NaN,-0.20096,-0.20899
-0.13714,-0.13714,-0.13714,NaN,-0.2018,-0.20983
-0.13429,-0.13429,-0.13429,NaN,-0.20264,-0.21066
-0.13143,-0.13143,-0.13143,-0.18247,-0.20348,-0.21149
-0.12857,-0.12857,-0.12857,-0.18333,-0.20433,-0.21233
-0.12571,-0.12571,-0.12571,-0.1842,-0.20517,-0.21316
-0.12286,-0.12286,-0.12286,-0.18506,-0.20601,-0.21399
-0.12,-0.12,-0.12,-0.18593,-0.20685,-0.21483
-0.11714,-0.11714,-0.11714,-0.18679,-0.20769,-0.21566
-0.11429,-0.11429,-0.11429,-0.18765,-0.20854,-0.21649
-0.11143,-0.11143,-0.11143,-0.18852,-0.20938,-0.21733
-0.10857,-0.10857,-0.10857,-0.18938,-0.21022,-0.21816
-0.10571,-0.10571,-0.10571,-0.19025,-0.21106,-0.219
-0.10286,-0.10286,-0.10286,-0.19111,-0.2119,-0.21983
-0.1,-0.1,-0.1,-0.19198,-0.21275,-0.22066
-0.097143,-0.097143,-0.097143,-0.19284,-0.21359,-0.2215
-0.094286,-0.094286,-0.094286,-0.1937,-0.21443,-0.22233
-0.091429,-0.091429,-0.091429,-0.19457,-0.21527,-0.22316
-0.088571,-0.088571,-0.088571,-0.19543,-0.21611,-0.224
-0.085714,-0.085714,-0.085714,-0.1963,-0.21696,-0.22483
-0.082857,-0.082857,-0.082857,-0.19716,-0.2178,-0.22566
-0.08,-0.08,-0.08,-0.19802,-0.21864,-0.2265
-0.077143,-0.077143,-0.077143,-0.19889,-0.21948,-0.22733
-0.074286,-0.074286,-0.074286,-0.19975,-0.22032,-0.22816
-0.071429,-0.071429,-0.071429,-0.20062,-0.22116,-0.229
-0.068571,-0.068571,-0.068571,-0.20148,-0.22201,-0.22983
-0.065714,-0.065714,-0.065714,-0.20235,-0.22285,-0.23066
-0.062857,-0.062857,-0.062857,-0.20321,-0.22369,-0.2315
-0.06,-0.06,-0.06,-0.20407,-0.22453,-0.23233
-0.057143,-0.057143,-0.057143,-0.20494,-0.22537,-0.23317
-0.054286,-0.054286,-0.054286,-0.2058,-0.22622,-0.234
-0.051429,-0.051429,-0.051429,-0.20667,-0.22706,-0.23483
-0.048571,-0.048571,-0.048571,-0.20753,-0.2279,-0.23567
-0.045714,-0.045714,-0.045714,-0.2084,-0.22874,-0.2365
-0.042857,-0.042857,-0.042857,-0.20926,-0.22958,-0.23733
-0.04,-0.04,-0.04,-0.21012,-0.23043,-0.23817
-0.037143,-0.037143,-0.037143,-0.21099,-0.23127,-0.239
-0.034286,-0.034286,-0.034286,-0.21185,-0.23211,-0.23983
-0.031429,-0.031429,-0.031429,-0.21272,-0.23295,-0.24067
-0.028571,-0.028571,-0.028571,-0.21358,-0.23379,-0.2415
-0.025714,-0.025714,-0.025714,-0.21444,-0.23464,-0.24233
-0.022857,-0.022857,-0.022857,-0.21531,-0.23548,-0.24317
-0.02,-0.02,-0.02,-0.21617,-0.23632,-0.244
-0.017143,-0.017143,-0.017143,-0.21704,-0.23716,-0.24483
-0.014286,-0.014286,-0.014286,-0.2179,-0.238,-0.24567
-0.011429,-0.011429,-0.011429,-0.21877,-0.23885,-0.2465
-0.0085714,-0.0085714,-0.0085714,-0.21963,-0.23969,-0.24734
-0.0057143,-0.0057143,-0.0057143,-0.22049,-0.24053,-0.24817
-0.0028571,-0.0028571,-0.0028571,-0.22136,-0.24137,-0.249
0,0,0,0,0,0
0.0028571,0.0028571,0.0028571,-0.0011111,-0.0011111,-0.0011111
0.0057143,0.0057143,0.0057143,-0.0022222,-0.0022222,-0.0022222
0.0085714,0.0085714,0.0085714,-0.0033333,-0.0033333,-0.0033333
0.011429,0.011429,0.011429,-0.0044444,-0.0044444,-0.0044444
0.014286,0.014286,0.014286,-0.0055556,-0.0055556,-0.0055556
0.017143,0.017143,0.017143,-0.0066667,-0.0066667,-0.0066667
0.02,0.02,0.02,-0.0077778,-0.0077778,-0.0077778
0.022857,0.022857,0.022857,-0.0088889,-0.0088889,-0.0088889
0.025714,0.025714,0.025714,-0.01,-0.01,-0.01
0.028571,0.028571,0.028571,-0.011111,-0.011111,-0.011111
0.031429,0.031429,0.031429,-0.012222,-0.012222,-0.012222
0.034286,0.034286,0.034286,-0.013333,-0.013333,-0.013333
0.037143,0.037143,0.037143,-0.014444,-0.014444,-0.014444
0.04,0.04,0.04,-0.015556,-0.015556,-0.015556
0.042857,0.042857,0.042857,-0.016667,-0.016667,-0.016667
0.045714,0.045714,0.045714,-0.017778,-0.017778,-0.017778
0.048571,0.048571,0.048571,-0.018889,-0.018889,-0.018889
0.051429,0.051429,0.051429,-0.02,-0.02,-0.02
0.054286,0.054286,0.054286,-0.021111,-0.021111,-0.021111
0.057143,0.057143,0.057143,-0.022222,-0.022222,-0.022222
0.06,0.06,0.06,-0.023333,-0.023333,-0.023333
0.062857,0.062857,0.062857,-0.024444,-0.024444,-0.024444
0.065714,0.065714,0.065714,-0.025556,-0.025556,-0.025556
0.068571,0.068571,0.068571,-0.026667,-0.026667,-0.026667
0.071429,0.071429,0.071429,-0.027778,-0.027778,-0.027778
0.074286,0.074286,0.074286,-0.028889,-0.028889,-0.028889
0.077143,0.077143,0.077143,-0.03,-0.03,-0.03
0.08,0.08,0.08,-0.031111,-0.031111,-0.031111
0.082857,0.082857,0.082857,-0.032222,-0.032222,-0.032222
0.085714,0.085714,0.085714,-0.033333,-0.033333,-0.033333
0.088571,0.088571,0.088571,-0.034444,-0.034444,-0.034444
0.091429,0.091429,0.091429,-0.035556,-0.035556,-0.035556
0.094286,0.094286,0.094286,-0.036667,-0.036667,-0.036667
0.097143,0.097143,0.097143,-0.037778,-0.037778,-0.037778
0.1,0.1,0.1,-0.038889,-0.038889,-0.038889
0.10286,0.10286,0.10286,-0.04,-0.04,-0.04
0.10571,0.10571,0.10571,-0.041111,-0.041111,-0.041111
0.10857,0.10857,0.10857,-0.042222,-0.042222,-0.042222
0.11143,0.11143,0.11143,-0.043333,-0.043333,-0.043333
0.11429,0.11429,0.11429,-0.044444,-0.044444,-0.044444
0.11714,0.11714,0.11714,-0.045556,-0.045556,-0.045556
0.12,0.12,0.12,-0.046667,-0.046667,-0.046667
0.12286,0.12286,0.12286,-0.047778,-0.047778,-0.047778
0.12571,0.12571,0.12571,-0.048889,-0.048889,-0.048889
0.12857,0.12857,0.12857,-0.05,-0.05,-0.05
0.13143,0.13143,0.13143,-0.051111,-0.051111,-0.051111
0.13429,0.13429,0.13429,-0.052222,-0.052222,-0.052222
0.13714,0.13714,0.13714,-0.053333,-0.053333,-0.053333
0.14,0.14,0.14,-0.054444,-0.054444,-0.054444
0.14286,0.14286,0.14286,-0.055556,-0.055556,-0.055556
0.14571,0.14571,0.14571,-0.056667,-0.056667,-0.056667
0.14857,0.14857,0.14857,-0.057778,-0.057778,-0.057778
0.15143,0.15143,0.15143,-0.058889,-0.058889,-0.058889
0.15429,0.15429,0.15429,-0.06,-0.06,-0.06
0.15714,0.15714,0.15714,-0.061111,-0.061111,-0.061111
0.16,0.16,0.16,-0.062222,-0.062222,-0.062222
0.16286,0.16286,0.16286,-0.063333,-0.063333,-0.063333
0.16571,0.16571,0.16571,-0.064444,-0.064444,-0.064444
0.16857,0.16857,0.16857,-0.065556,-0.065556,-0.065556
0.17143,0.17143,0.17143,-0.066667,-0.066667,-0.066667
0.17429,0.17429,0.17429,-0.067778,-0.067778,-0.067778
0.17714,0.17714,0.17714,-0.068889,-0.068889,-0.068889
0.18,0.18,0.18,-0.07,-0.07,-0.07
0.18286,0.18286,0.18286,-0.071111,-0.071111,-0.071111
0.18571,0.18571,0.18571,-0.072222,-0.072222,-0.072222
0.18857,0.18857,0.18857,-0.073333,-0.073333,-0.073333
0.19143,0.19143,0.19143,-0.074444,-0.074444,-0.074444
